Rank,Player,Youtube,Initial Time (seconds),Duration (in seconds),Giphy,MP4,Youtube Equivalant
0,Sample - Antonio Brown,https://youtu.be/hUmdBSMr8NE?t=167,167,,https://media.giphy.com/media/hYxZSPsHgf2hO/giphy.gif,,yt hUmdBSMr8NE 167 
0,Becker,https://youtu.be/6Y2nPHYpmXc?t=26s,26,11,,,yt 6Y2nPHYpmXc 26 11
0,Jenkins,https://www.youtube.com/watch?v=tna3B5zqHdk,,,,,yt tna3B5zqHdk  
0,Anderson,https://youtu.be/nqkyCTkJLfo?t=1m45s,105,,,,yt nqkyCTkJLfo 105 
0,Halley,https://youtu.be/NisCkxU544c?t=6s,6,,,,yt NisCkxU544c 6 
0,Helle,https://www.youtube.com/watch?v=dNJ6qITQts0,,,,,yt dNJ6qITQts0  
0,Larkins,https://youtu.be/QAhcDHRZOak,16,8,,,#N/A
0,Gombita,https://www.youtube.com/watch?v=BRTSZZgCUik,,,,,yt BRTSZZgCUik  
0,Sink ,https://www.youtube.com/watch?v=qx6RbGjAZnY,,,,,yt qx6RbGjAZnY  
0,Burchfiel,https://www.youtube.com/watch?v=uHnoWzR6gGM,,,,,yt uHnoWzR6gGM  
0,Taylor,https://www.youtube.com/watch?v=YG6DifUtPvs,,,,,yt YG6DifUtPvs  
0,OstAnderson,https://youtu.be/D0GZ4Y9w6o0,0,,,,#N/A
0,Manion,https://www.youtube.com/watch?v=a_iVMMun52E,,,,,yt a_iVMMun52E  
1 (RB1),Todd Gurley | RB1,https://www.youtube.com/watch?v=vAxGEW5YDi0,,,,,yt vAxGEW5YDi0  
2 (RB2),Le'Veon Bell | RB2,https://www.youtube.com/watch?v=0emCJcdoKZk,,,,,yt 0emCJcdoKZk  
3 (RB3),David Johnson | RB3 (keeper),https://www.youtube.com/watch?v=66_QmvpnvjM,,,,,yt 66_QmvpnvjM  
4 (RB4),Ezekiel Elliott | RB4 (keeper),https://www.youtube.com/watch?v=LPK90X_v8w0,,,,,yt LPK90X_v8w0  
5 (WR1),Antonio Brown | WR1,,,,,,#N/A
6 (WR2),DeAndre Hopkins | WR2,https://www.youtube.com/watch?v=Xc-BCyQaU2c,,,,,yt Xc-BCyQaU2c  
